benchmark,method,avg@32,pass@32,cons@32
MinervaMath,PPO,0.22150735294117646,0.375,0.23529411764705882
MinervaMath,DAPO,0.22173713235294118,0.4007352941176471,0.23161764705882354
MinervaMath,GPG,0.21415441176470587,0.3786764705882353,0.24632352941176472
MinervaMath,REINFORCE++,0.2265625,0.40808823529411764,0.2426470588235294
MinervaMath,OPTS-TTPO,0.2328814338235294,0.40441176470588236,0.25735294117647056
AMC23,PPO,0.5546875,0.9,0.625
AMC23,DAPO,0.5703125,0.875,0.6
AMC23,GPG,0.56015625,0.875,0.65
AMC23,REINFORCE++,0.55625,0.8,0.725
AMC23,OPTS-TTPO,0.5953125,0.9,0.675
AIME25,PPO,0.146875,0.43333333333333335,0.2
AIME25,DAPO,0.18854166666666666,0.36666666666666664,0.3
AIME25,GPG,0.16979166666666667,0.4,0.3
AIME25,REINFORCE++,0.16041666666666668,0.3333333333333333,0.3
AIME25,OPTS-TTPO,0.19375,0.3333333333333333,0.3
Math12k,PPO,0.7061875,0.846,0.762
Math12k,DAPO,0.7201875,0.854,0.772
Math12k,GPG,0.7070625,0.848,0.758
Math12k,REINFORCE++,0.7176875,0.854,0.786
Math12k,OPTS-TTPO,0.7234375,0.858,0.766
